Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions
United States,USA,1991,5062956500,5062956500
United States,USA,1992,5174227500,5174227500
United States,USA,1993,5272850400,5272850400
United States,USA,1994,5364279300,5364279300
United States,USA,1995,5425259500,5425259500
United States,USA,1996,5612983000,5612983000
United States,USA,1997,5688142300,5688142300
United States,USA,1998,5733281000,5733281000
United States,USA,1999,5803918000,5803918000
United States,USA,2000,6010135600,6010135600
United States,USA,2001,5907739600,5907739600
United States,USA,2002,5946308000,5946308000
United States,USA,2003,6010145300,6010145300
United States,USA,2004,6112655000,6112655000
United States,USA,2005,6132183000,6132183000
United States,USA,2006,6052686000,6052686000
United States,USA,2007,6130123000,6130123000
United States,USA,2008,5915118600,5915118600
United States,USA,2009,5480725500,5480725500
United States,USA,2010,5679715300,5679715300
United States,USA,2011,5546116000,5546116000
United States,USA,2012,5344086000,5344086000
United States,USA,2013,5480156700,5480156700
United States,USA,2014,5528681000,5528681000
United States,USA,2015,5376473000,5376473000
United States,USA,2016,5252932000,5252932000
United States,USA,2017,5212162000,5212162000
United States,USA,2018,5377797000,5377797000
United States,USA,2019,5262145000,5262145000
United States,USA,2020,4714628000,4714628000
United States,USA,2021,5032213000,5032213000
United States,USA,2022,5078871000,5078871000
United States,USA,2023,4911391000,4911391000
